datetime,open,close,high,low,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
2020-02-21 00:00:00,256.97,262.03,262.99,253.61,99209.16379,25672819.3938906,41808,49561.8515,12824492.0659161
2020-02-21 04:00:00,262.0,260.21,263.83,259.0,69703.5556,18200181.4418638,29232,33244.32329,8679342.1521978
2020-02-21 08:00:00,260.22,261.83,263.25,257.57,82922.25658,21594321.9192117,32429,39992.40009,10413703.2869202
2020-02-21 12:00:00,261.81,265.19,266.53,261.71,106676.18014,28195487.9927228,42566,57319.5499,15150797.2119895
2020-02-21 16:00:00,265.15,264.07,268.24,262.58,75262.39527,19978787.7543277,33013,39332.62575,10446561.1283043
2020-02-21 20:00:00,264.12,265.27,266.64,259.72,92054.32202,24206643.9259139,35258,50340.3869,13234094.3517446
2020-02-22 00:00:00,265.32,262.65,266.81,261.5,47854.817,12618272.1147926,22625,25126.07991,6626471.7631118
2020-02-22 04:00:00,262.64,258.33,262.81,256.0,69144.09973,17944695.6121461,28185,33480.34854,8689043.9796686
2020-02-22 08:00:00,258.31,261.85,262.14,257.61,51496.4556,13376228.4663763,20862,26260.22022,6823361.198213
2020-02-22 12:00:00,261.86,260.99,264.5,259.78,58051.47776,15221243.4767281,24490,27967.95057,7335727.1889419
2020-02-22 16:00:00,261.05,260.73,263.74,258.54,55663.12559,14543371.977922,25805,28904.12272,7551139.5432136
2020-02-22 20:00:00,260.73,261.57,262.93,260.63,30852.54565,8077576.6713883,14843,15083.62871,3949114.2659681
2020-02-23 00:00:00,261.55,265.61,265.71,261.02,43002.00541,11326756.0583095,18872,22756.39865,5993731.4644898
2020-02-23 04:00:00,265.62,270.36,271.89,265.57,112007.68581,30104968.6363609,43536,57543.16446,15461064.9190777
2020-02-23 08:00:00,270.36,268.12,275.0,266.99,120083.1581,32578722.6595218,43511,60056.1767,16293804.522568
2020-02-23 12:00:00,268.12,270.0,272.77,268.01,80099.98831,21681612.5893133,29849,40679.09019,11014117.046298
2020-02-23 16:00:00,270.0,270.64,271.82,268.7,37119.48397,10039872.9952826,18419,17893.32332,4839894.8408876
2020-02-23 20:00:00,270.62,274.48,275.68,269.35,52428.50723,14292126.0331782,24277,26550.53393,7242761.4051283
2020-02-24 00:00:00,274.5,268.03,277.2,265.23,145340.06787,39438192.1027555,53995,68093.67652,18475085.4203644
2020-02-24 04:00:00,267.95,267.6,268.74,263.67,84145.82207,22449455.199928,31522,41566.09376,11092067.9949507
2020-02-24 08:00:00,267.58,271.99,272.28,265.35,77043.05576,20640649.494123,29330,34767.40447,9319164.7588675
2020-02-24 12:00:00,271.9,267.58,272.74,266.09,111587.47035,30114260.2153777,44566,52162.27102,14080486.4100249
2020-02-24 16:00:00,267.57,263.36,270.58,257.09,206468.67929,54388540.8995074,71885,99228.36091,26130311.2793355
2020-02-24 20:00:00,263.27,265.52,266.52,258.78,72006.63449,18918084.7968891,31863,34976.12161,9190371.3229847
2020-02-25 00:00:00,265.47,261.7,266.22,260.75,47889.6622,12608826.9374545,22383,22426.90305,5902910.4175673
2020-02-25 04:00:00,261.71,257.69,262.66,254.85,124804.62726,32195571.3745548,42828,64523.26,16647645.6803323
2020-02-25 08:00:00,257.63,262.51,263.32,255.97,102449.78346,26567022.9917744,36101,50083.15752,12991051.6328952
2020-02-25 12:00:00,262.52,252.19,264.73,250.13,205655.61908,52669444.8220191,68494,99967.10923,25616321.5959146
2020-02-25 16:00:00,252.18,250.4,255.12,245.93,184736.51179,46196425.5925625,64423,91940.89865,22988747.7740469
2020-02-25 20:00:00,250.4,246.67,253.2,244.44,109254.80648,27205619.8263664,43228,53006.06007,13199805.1251952
