Trade_ID,Direction,Entry_Time,Exit_Time,Hold_Bars,Entry_Price,Exit_Price,Exit_Reason,PnL_Percent,MFE_Percent
129,Long,2024-01-08 18:00:00,2024-01-09 02:00:00,8,46979.35,46926.96,Time_Exit,-0.1115,0.196
130,Long,2024-01-09 04:00:00,2024-01-09 09:00:00,5,46714.67,46441.89,Fast_MA_Exit,-0.5839,0.2373
131,Long,2024-01-09 12:00:00,2024-01-09 13:00:00,1,46834.0,46561.1,Fast_MA_Exit,-0.5827,0.0
132,Long,2024-01-10 00:00:00,2024-01-10 01:00:00,1,45929.3,45971.09,Fast_MA_Exit,0.091,0.091
133,Long,2024-01-10 04:00:00,2024-01-10 05:00:00,1,45975.99,46006.0,Fast_MA_Exit,0.0653,0.0653
134,Long,2024-01-10 07:00:00,2024-01-10 08:00:00,1,45329.94,45661.42,Fast_MA_Exit,0.7313,0.7313
135,Long,2024-01-10 10:00:00,2024-01-10 11:00:00,1,45515.89,44670.53,Fast_MA_Exit,-1.8573,0.0
136,Long,2024-01-10 14:00:00,2024-01-10 15:00:00,1,45546.4,45311.1,Fast_MA_Exit,-0.5166,0.0
137,Long,2024-01-11 05:00:00,2024-01-11 14:00:00,9,45907.3,46783.78,Trailing_Stop,1.9092,5.8028
138,Long,2024-01-30 23:00:00,2024-01-31 00:00:00,1,42933.21,42782.82,Fast_MA_Exit,-0.3503,0.0
139,Long,2024-01-31 11:00:00,2024-01-31 12:00:00,1,42622.81,42803.92,Fast_MA_Exit,0.4249,0.4249
140,Long,2024-02-07 20:00:00,2024-02-08 14:00:00,18,44185.96,45432.3,TP_Hit,2.8207,2.8207
141,Long,2024-02-07 20:00:00,2024-02-10 06:00:00,58,44185.96,47151.72,Fast_MA_Exit,6.712,7.8447
142,Long,2024-02-10 08:00:00,2024-02-10 09:00:00,1,47066.0,46884.22,Fast_MA_Exit,-0.3862,0.0
143,Long,2024-02-10 17:00:00,2024-02-11 02:00:00,9,47329.37,48519.61,TP_Hit,2.5148,2.5148
144,Long,2024-02-10 17:00:00,2024-02-11 19:00:00,26,47329.37,48034.55,Trailing_Stop,1.4899,2.5148
145,Long,2024-02-12 18:00:00,2024-02-13 02:00:00,8,49532.03,49789.99,Time_Exit,0.5208,1.2738
146,Long,2024-02-26 15:00:00,2024-02-26 18:00:00,3,53391.02,54487.11,TP_Hit,2.0529,2.0529
147,Long,2024-02-26 15:00:00,2024-02-28 17:00:00,50,53391.02,61101.99,Trailing_Stop,14.4424,16.8961
148,Long,2024-02-28 20:00:00,2024-02-28 23:00:00,3,60550.46,61359.99,Signal_Exit,1.3369,3.1076
149,Long,2024-02-29 16:00:00,2024-02-29 17:00:00,1,60982.35,60800.0,Fast_MA_Exit,-0.299,0.0
150,Long,2024-02-29 23:00:00,2024-03-01 00:00:00,1,61501.11,61214.35,Fast_MA_Exit,-0.4663,0.0
151,Long,2024-03-05 04:00:00,2024-03-05 06:00:00,2,66961.09,66129.64,Fast_MA_Exit,-1.2417,0.4864
152,Long,2024-03-05 08:00:00,2024-03-05 09:00:00,1,66407.89,66810.18,Fast_MA_Exit,0.6058,0.6058
153,Long,2024-03-05 16:00:00,2024-03-05 17:00:00,1,65575.2,63988.37,Fast_MA_Exit,-2.4199,0.0
154,Long,2024-03-06 09:00:00,2024-03-06 11:00:00,2,66660.36,65929.5,Signal_Exit,-1.0964,0.9615
155,Long,2024-03-08 21:00:00,2024-03-09 05:00:00,8,68102.06,68426.01,Time_Exit,0.4757,0.4757
156,Long,2024-03-12 21:00:00,2024-03-12 22:00:00,1,71162.01,71452.01,Fast_MA_Exit,0.4075,0.4075
157,Long,2024-03-21 04:00:00,2024-03-21 07:00:00,3,67009.51,67283.55,Signal_Exit,0.409,0.409
158,Long,2024-03-25 21:00:00,2024-03-26 05:00:00,8,70310.0,70616.01,Time_Exit,0.4352,0.4352
159,Long,2024-03-26 16:00:00,2024-03-26 17:00:00,1,70066.55,69932.0,Fast_MA_Exit,-0.192,0.0
160,Long,2024-03-26 19:00:00,2024-03-26 20:00:00,1,69827.76,70000.68,Fast_MA_Exit,0.2476,0.2476
161,Long,2024-04-08 08:00:00,2024-04-08 16:00:00,8,72197.25,71699.23,Time_Exit,-0.6898,0.2864
162,Long,2024-04-09 07:00:00,2024-04-09 08:00:00,1,70500.01,70392.18,Fast_MA_Exit,-0.1529,0.0
163,Long,2024-04-09 13:00:00,2024-04-09 14:00:00,1,69358.32,69264.0,Fast_MA_Exit,-0.136,0.0
164,Long,2024-04-09 20:00:00,2024-04-09 21:00:00,1,69213.83,69325.65,Fast_MA_Exit,0.1616,0.1616
165,Long,2024-05-03 15:00:00,2024-05-03 17:00:00,2,61681.99,61829.16,Signal_Exit,0.2386,0.2386
166,Long,2024-05-05 00:00:00,2024-05-05 01:00:00,1,63315.47,63141.71,Fast_MA_Exit,-0.2744,0.0
167,Long,2024-05-05 05:00:00,2024-05-05 07:00:00,2,63382.84,63668.0,Signal_Exit,0.4499,0.5586
168,Long,2024-05-06 14:00:00,2024-05-06 15:00:00,1,63632.01,63192.43,Fast_MA_Exit,-0.6908,0.0
